Fecha,Hora,Origen,Destino,Clase,Precio,VueloID,Gate
2026-05-06,07:39,DXB,PAR,Primera Clase,945,209,G11
2026-04-18,18:55,DFW,IST,Turista,1000,778,G20
2026-05-14,21:48,AMS,PEK,Primera Clase,1215,381,G1
2026-05-11,08:08,LAX,AMS,Turista,850,551,G11
2026-05-01,20:29,TYO,LAX,Primera Clase,1215,699,G17
2026-04-28,16:51,ATL,SAO,Turista,900,200,G19
2026-05-06,06:13,IST,PEK,Primera Clase,1080,562,G9
2026-05-08,17:32,AMS,PEK,Turista,900,946,G6
2026-04-15,16:33,IST,AMS,Primera Clase,608,420,G3
2026-04-17,13:43,DFW,IST,Turista,1000,614,G18
2026-05-11,10:37,LAX,TYO,Primera Clase,1215,519,G15
2026-04-21,00:32,CAN,DXB,Turista,650,345,G3
2026-04-29,06:30,DXB,FRA,Primera Clase,810,518,G15
2026-04-22,03:14,PEK,DXB,Turista,700,427,G18
2026-04-17,20:59,LON,DXB,Primera Clase,878,883,G18
2026-05-04,17:03,DFW,CAN,Turista,1200,599,G6
2026-05-01,15:23,PEK,MAD,Primera Clase,1283,140,G5
2026-04-30,11:34,CAN,IST,Turista,800,380,G10
2026-05-04,03:33,LAX,ATL,Primera Clase,540,400,G10
2026-05-10,21:23,DFW,ATL,Turista,200,644,G12
2026-05-05,05:59,ATL,TYO,Primera Clase,1890,171,G9
2026-05-02,12:45,DFW,DXB,Turista,1200,126,G5
2026-05-04,22:48,ATL,DFW,Primera Clase,270,236,G12
2026-04-27,12:30,PEK,LON,Turista,900,442,G18
2026-04-24,03:05,FRA,IST,Primera Clase,473,802,G13
2026-04-21,11:40,CAN,AMS,Turista,900,436,G20
2026-05-07,05:26,SIN,IST,Primera Clase,1080,698,G7
2026-05-06,08:20,IST,SIN,Turista,800,311,G8
2026-04-30,14:49,SIN,DFW,Primera Clase,1890,335,G17
2026-04-21,10:00,ATL,SAO,Turista,900,630,G10
2026-04-28,21:10,AMS,IST,Primera Clase,608,661,G1
2026-05-01,11:44,PEK,DXB,Turista,700,248,G15
2026-05-09,17:14,ATL,MAD,Primera Clase,1080,942,G11
2026-05-05,06:25,MAD,LAX,Turista,900,878,G17
2026-04-20,17:41,LON,AMS,Primera Clase,203,514,G6
2026-05-01,18:29,CAN,TYO,Turista,550,590,G17
2026-04-25,21:18,PAR,ATL,Primera Clase,1013,107,G3
2026-04-25,06:06,CAN,TYO,Turista,550,906,G18
2026-04-21,16:58,SIN,PAR,Primera Clase,1283,846,G17
2026-04-21,01:55,PEK,MAD,Turista,950,301,G18
2026-05-09,01:54,CAN,LAX,Primera Clase,1553,513,G9
2026-04-21,22:58,DXB,PAR,Turista,700,815,G7
2026-05-14,06:14,AMS,IST,Primera Clase,608,321,G17
2026-04-25,20:15,DFW,MAD,Turista,850,689,G5
2026-04-18,10:11,PEK,MAD,Primera Clase,1283,172,G18
2026-05-09,15:21,LON,TYO,Turista,1000,433,G17
2026-04-19,15:51,SIN,PAR,Primera Clase,1283,426,G15
2026-05-11,08:20,DFW,LAX,Turista,300,676,G1
2026-04-20,04:39,LON,ATL,Primera Clase,945,742,G13
2026-04-24,18:37,IST,DXB,Turista,400,333,G20
2026-05-08,06:08,PEK,TYO,Primera Clase,675,643,G9
2026-05-14,09:55,FRA,TYO,Turista,950,731,G1
2026-05-13,06:33,PEK,LON,Primera Clase,1215,196,G10
2026-05-14,09:16,AMS,SIN,Turista,950,552,G17
2026-04-21,03:15,IST,LAX,Primera Clase,4049,375,G20
2026-04-25,00:47,CAN,SAO,Turista,1700,955,G10
2026-04-22,04:27,DFW,IST,Primera Clase,1350,623,G3
2026-05-07,22:58,PAR,AMS,Turista,180,330,G4
2026-04-24,03:43,DFW,PAR,Primera Clase,1080,388,G17
2026-05-02,14:13,IST,PEK,Turista,800,506,G6
2026-05-01,05:54,LAX,PAR,Primera Clase,1148,107,G3
2026-05-13,22:02,LAX,ATL,Turista,400,379,G8
2026-04-23,00:55,FRA,LON,Primera Clase,270,338,G8
2026-04-21,01:48,DXB,LON,Turista,650,622,G19
2026-04-20,22:53,DXB,TYO,Primera Clase,1013,922,G9
2026-05-02,09:33,TYO,SIN,Turista,700,722,G19
2026-04-23,23:19,DXB,FRA,Primera Clase,810,219,G16
2026-04-24,08:48,CAN,LAX,Turista,1150,760,G6
2026-05-09,11:35,LON,LAX,Primera Clase,1080,908,G12
2026-05-02,11:02,CAN,SAO,Turista,1700,254,G3
2026-04-20,13:27,DXB,DFW,Primera Clase,1620,206,G10
2026-04-25,14:59,IST,SIN,Turista,800,550,G6
2026-04-20,04:23,PAR,SAO,Primera Clase,1418,622,G13
2026-05-13,18:47,DXB,DFW,Turista,1200,398,G4
2026-04-17,06:10,IST,LAX,Primera Clase,4049,645,G18
2026-05-02,16:50,PAR,SAO,Turista,1050,884,G16
2026-04-30,21:07,TYO,DFW,Primera Clase,1823,887,G16
2026-04-25,03:51,PEK,SIN,Turista,600,365,G5
2026-04-25,17:29,PAR,DXB,Primera Clase,945,754,G17
2026-05-13,13:26,TYO,ATL,Turista,1400,675,G19
2026-05-11,23:08,FRA,PEK,Primera Clase,1148,460,G20
2026-05-09,09:43,DFW,IST,Turista,1000,854,G2
2026-05-10,11:20,FRA,DFW,Primera Clase,1148,593,G8
2026-04-26,19:34,FRA,LON,Turista,200,564,G6
2026-04-27,11:58,AMS,MAD,Primera Clase,270,451,G4
2026-05-10,05:03,DFW,AMS,Turista,800,626,G10
2026-05-04,05:16,AMS,PEK,Primera Clase,1215,866,G20
2026-04-26,16:50,MAD,LAX,Turista,900,659,G17
2026-05-05,05:35,SIN,TYO,Primera Clase,945,254,G8
2026-04-15,15:53,DXB,CAN,Turista,650,602,G5
2026-05-12,10:27,CAN,TYO,Primera Clase,743,854,G9
2026-05-14,19:21,PEK,SIN,Turista,600,241,G3
2026-05-12,16:29,FRA,SIN,Primera Clase,1215,178,G2
2026-04-27,11:36,SIN,IST,Turista,800,650,G15
2026-05-10,01:12,CAN,SAO,Primera Clase,2295,756,G16
2026-04-22,00:46,DXB,SIN,Turista,600,439,G1
2026-05-05,22:23,ATL,SAO,Primera Clase,1215,948,G4
2026-05-08,03:13,TYO,MAD,Turista,1100,767,G12
2026-05-02,03:56,DXB,LAX,Primera Clase,1755,956,G10
2026-04-24,10:38,TYO,CAN,Turista,550,704,G6
2026-04-19,17:25,ATL,DFW,Primera Clase,270,974,G14
2026-05-06,20:06,PEK,PAR,Turista,950,664,G8
2026-04-16,12:21,LAX,ATL,Primera Clase,540,294,G10
2026-05-04,01:36,CAN,TYO,Turista,550,422,G7
2026-05-01,12:09,PAR,FRA,Primera Clase,9450,257,G4
2026-04-19,07:37,PEK,TYO,Turista,500,960,G14
2026-05-11,17:53,FRA,PEK,Primera Clase,1148,899,G19
2026-05-03,10:09,SIN,LON,Turista,900,945,G3
2026-04-29,11:41,MAD,DXB,Primera Clase,1013,421,G13
2026-05-09,07:01,MAD,DFW,Turista,850,650,G8
2026-04-18,15:13,AMS,LON,Primera Clase,203,734,G1
2026-04-30,19:15,CAN,IST,Turista,800,766,G10
2026-05-10,02:52,DFW,CAN,Primera Clase,1620,159,G5
2026-04-16,00:57,LAX,IST,Turista,1100,393,G16
2026-04-16,11:18,PEK,PAR,Primera Clase,1283,489,G4
2026-05-14,02:10,FRA,SIN,Turista,900,831,G1
2026-04-24,02:59,AMS,SIN,Primera Clase,1283,385,G8
2026-05-08,05:41,TYO,ATL,Turista,1400,179,G17
2026-04-29,20:05,PEK,SAO,Primera Clase,2295,442,G3
2026-04-16,12:51,IST,TYO,Turista,900,504,G5
2026-05-10,18:53,AMS,DXB,Primera Clase,878,651,G14
2026-05-03,06:33,DXB,AMS,Turista,650,639,G9
2026-05-04,23:41,CAN,DXB,Primera Clase,878,958,G4
2026-04-30,22:30,AMS,LAX,Turista,850,695,G20
2026-04-20,11:49,LAX,PAR,Primera Clase,1148,622,G12
2026-04-19,05:13,DFW,LAX,Turista,300,283,G19
2026-04-20,03:02,DFW,AMS,Primera Clase,1080,677,G2
2026-05-01,10:06,AMS,IST,Turista,450,161,G3
2026-04-16,06:18,SIN,PEK,Primera Clase,810,906,G10
2026-05-08,23:14,SIN,MAD,Turista,1000,417,G17
2026-04-18,08:22,IST,MAD,Primera Clase,675,701,G3
2026-04-22,21:58,CAN,PAR,Turista,950,483,G10
2026-04-24,11:43,PAR,ATL,Primera Clase,1013,763,G14
2026-05-04,10:51,SAO,DFW,Turista,950,284,G20
2026-05-08,01:04,IST,AMS,Primera Clase,608,759,G2
2026-05-01,05:20,ATL,LAX,Turista,400,400,G20
2026-04-29,15:53,MAD,IST,Primera Clase,675,938,G13
2026-05-03,23:09,CAN,LAX,Turista,1150,110,G20
2026-04-23,05:17,DFW,LAX,Primera Clase,405,834,G13
2026-05-01,11:41,AMS,ATL,Turista,780,908,G6
2026-05-01,05:32,LAX,DXB,Primera Clase,1755,604,G12
2026-05-04,12:41,DFW,CAN,Turista,1200,752,G16
2026-04-20,05:57,LON,TYO,Primera Clase,1350,486,G15
2026-05-12,12:19,DFW,LAX,Turista,300,282,G19
2026-05-06,19:00,PEK,DXB,Primera Clase,945,898,G20
2026-05-12,07:58,AMS,LON,Turista,150,591,G9
2026-04-28,16:54,DXB,FRA,Primera Clase,810,213,G14
2026-04-25,22:03,PEK,AMS,Turista,900,792,G7
2026-04-29,21:48,PEK,DXB,Primera Clase,945,146,G3
2026-05-01,04:29,DFW,ATL,Turista,200,873,G18
2026-05-07,05:16,TYO,DXB,Primera Clase,1013,639,G5
2026-04-26,04:03,FRA,PAR,Turista,150,941,G12
2026-05-10,04:36,DFW,LAX,Primera Clase,405,844,G16
2026-04-23,07:16,AMS,TYO,Turista,1000,331,G4
2026-05-06,16:40,DFW,SAO,Primera Clase,1283,773,G17
2026-04-19,19:55,DFW,PAR,Turista,800,496,G2
2026-04-26,06:29,IST,SIN,Primera Clase,1080,632,G6
2026-05-07,23:43,CAN,IST,Turista,800,680,G16
2026-04-23,18:38,DXB,SAO,Primera Clase,1890,722,G17
2026-05-02,01:18,PAR,SIN,Turista,950,655,G2
2026-05-07,19:10,LAX,IST,Primera Clase,1485,909,G15
2026-05-05,09:26,PEK,MAD,Turista,950,884,G17
2026-05-14,23:08,AMS,LAX,Primera Clase,1148,690,G7
2026-04-26,07:13,LON,DXB,Turista,650,746,G14
2026-04-26,09:46,SIN,PEK,Primera Clase,810,259,G14
2026-05-03,01:04,DFW,PAR,Turista,800,660,G13
2026-05-02,22:23,CAN,LAX,Primera Clase,1553,464,G5
2026-05-06,01:51,LON,AMS,Turista,150,864,G7
2026-05-04,18:03,MAD,SAO,Primera Clase,1350,920,G9
2026-05-02,18:23,LAX,AMS,Turista,850,908,G5
2026-04-21,20:24,TYO,LON,Primera Clase,1350,191,G1
2026-05-01,15:02,CAN,DXB,Turista,650,146,G17
2026-04-23,05:34,LON,TYO,Primera Clase,1350,549,G10
2026-05-04,18:25,LAX,PEK,Turista,1100,871,G1
2026-05-14,17:33,MAD,DXB,Primera Clase,1013,720,G18
2026-05-08,01:41,AMS,ATL,Turista,780,407,G2
2026-04-18,21:23,DFW,LAX,Primera Clase,405,749,G7
2026-04-27,12:31,LON,TYO,Turista,1000,810,G11
2026-04-20,05:46,CAN,DXB,Primera Clase,878,977,G16
2026-05-12,10:35,PAR,SAO,Turista,1050,512,G18
2026-05-01,20:43,AMS,SAO,Primera Clase,1418,239,G15
2026-04-26,20:35,MAD,DXB,Turista,750,424,G13
2026-04-15,14:47,IST,DXB,Primera Clase,540,879,G14
2026-04-16,06:30,DXB,CAN,Turista,650,842,G14
2026-05-06,22:15,PAR,ATL,Primera Clase,1013,142,G2
2026-05-12,03:53,DFW,ATL,Turista,200,638,G13
2026-04-16,21:04,PAR,AMS,Primera Clase,243,520,G8
2026-04-30,10:48,PAR,AMS,Turista,180,895,G18
2026-04-16,04:41,AMS,MAD,Primera Clase,270,160,G2
2026-04-21,11:13,SIN,TYO,Turista,700,294,G9
2026-05-10,03:41,LAX,DXB,Primera Clase,1755,330,G2
2026-05-10,02:31,PAR,SAO,Turista,1050,844,G10
2026-05-05,09:05,AMS,PEK,Primera Clase,1215,885,G5
2026-04-26,23:11,MAD,IST,Turista,500,584,G9
2026-05-06,20:39,LAX,DFW,Primera Clase,405,730,G8
2026-04-15,23:25,PAR,DXB,Turista,700,871,G13
2026-05-13,11:13,LON,DXB,Primera Clase,878,801,G6
2026-05-05,14:32,SAO,ATL,Turista,900,320,G6
2026-05-05,23:05,LAX,SIN,Primera Clase,1890,312,G20
2026-05-08,05:42,AMS,IST,Turista,450,474,G12
2026-04-28,04:17,TYO,DXB,Primera Clase,1013,726,G15
2026-04-16,07:40,TYO,SIN,Turista,700,234,G20
2026-04-21,01:21,TYO,IST,Primera Clase,1215,483,G14
2026-04-30,03:02,DXB,LON,Turista,650,517,G7
2026-04-20,20:27,LON,SAO,Primera Clase,1485,768,G13
2026-05-09,14:24,LON,IST,Turista,400,737,G13
2026-04-26,20:49,TYO,SIN,Primera Clase,945,395,G8
2026-04-17,18:43,DXB,IST,Turista,400,581,G2
2026-04-20,15:05,LAX,PEK,Primera Clase,1485,347,G16
2026-05-11,03:58,TYO,SIN,Turista,700,876,G13
2026-04-28,15:15,AMS,SAO,Primera Clase,1418,213,G3
2026-05-14,16:12,LAX,PAR,Turista,850,320,G16
2026-05-06,02:09,SIN,TYO,Primera Clase,945,154,G17
2026-04-17,14:43,PEK,MAD,Turista,950,120,G14
2026-05-14,20:01,DFW,IST,Primera Clase,1350,547,G12
2026-05-01,05:58,CAN,DFW,Turista,1200,973,G10
2026-04-28,19:51,TYO,DXB,Primera Clase,1013,136,G11
2026-05-04,19:39,SIN,PAR,Turista,950,766,G12
2026-05-11,16:51,PAR,LAX,Primera Clase,1148,277,G18
2026-04-27,08:13,ATL,TYO,Turista,1400,248,G5
2026-04-20,10:51,PAR,FRA,Primera Clase,9450,836,G6
2026-04-30,13:47,LON,PAR,Turista,150,604,G20
2026-04-24,14:38,IST,DFW,Primera Clase,1350,874,G13
2026-05-02,10:09,ATL,MAD,Turista,800,252,G4
2026-05-02,15:40,PEK,SIN,Primera Clase,810,850,G6
2026-05-06,07:05,FRA,IST,Turista,350,624,G2
2026-05-05,23:43,IST,SAO,Primera Clase,1620,365,G8
2026-04-30,18:12,PAR,LAX,Turista,850,159,G20
2026-04-27,19:24,LAX,PEK,Primera Clase,1485,243,G13
2026-05-12,18:42,PEK,DXB,Turista,700,724,G14
2026-05-11,13:44,PEK,MAD,Primera Clase,1283,616,G12
2026-05-06,00:39,TYO,PAR,Turista,105,688,G3
2026-05-06,08:10,CAN,AMS,Primera Clase,1215,557,G1
2026-04-19,00:18,AMS,IST,Turista,450,270,G2
2026-04-17,08:30,SAO,ATL,Primera Clase,1215,499,G7
2026-04-19,09:58,CAN,DFW,Turista,1200,731,G9
2026-05-02,07:29,LAX,FRA,Primera Clase,1215,639,G8
2026-04-28,18:39,IST,MAD,Turista,500,113,G1
2026-04-24,14:15,SIN,TYO,Primera Clase,945,352,G14
2026-04-23,13:16,LON,AMS,Turista,150,485,G18
2026-04-29,04:08,MAD,LAX,Primera Clase,1215,554,G9
2026-05-12,10:34,LON,SAO,Turista,1100,569,G6
2026-04-26,10:56,CAN,SIN,Primera Clase,675,756,G4
2026-05-09,08:14,LAX,ATL,Turista,400,439,G19
2026-04-23,15:45,LAX,FRA,Primera Clase,1215,787,G1
2026-04-16,03:34,DFW,MAD,Turista,850,896,G1
2026-04-25,18:18,FRA,IST,Primera Clase,473,159,G10
2026-04-22,14:51,DXB,AMS,Turista,650,371,G5
2026-04-28,16:35,PAR,AMS,Primera Clase,243,501,G14
2026-05-05,12:40,ATL,SIN,Turista,1500,354,G4
2026-04-17,08:41,LAX,PEK,Primera Clase,1485,826,G6
2026-05-04,01:39,DXB,IST,Turista,400,756,G10
2026-05-07,19:38,ATL,TYO,Primera Clase,1890,758,G13
2026-04-28,14:38,FRA,DFW,Turista,850,304,G15
2026-05-01,05:05,AMS,LAX,Primera Clase,1148,226,G4
2026-04-21,12:07,TYO,CAN,Turista,550,390,G18
2026-04-26,23:16,IST,MAD,Primera Clase,675,654,G1
2026-05-14,10:01,IST,SAO,Turista,1200,842,G11
2026-04-29,10:18,PEK,MAD,Primera Clase,1283,991,G12
2026-05-12,03:46,DXB,AMS,Turista,650,691,G18
2026-04-26,07:20,MAD,SAO,Primera Clase,1350,577,G5
2026-05-13,19:18,LON,LAX,Turista,800,575,G5
2026-05-07,10:45,SIN,TYO,Primera Clase,945,687,G2
2026-04-20,21:32,DXB,AMS,Turista,650,199,G12
2026-05-04,05:35,FRA,SIN,Primera Clase,1215,125,G7
2026-05-13,23:44,SIN,TYO,Turista,700,229,G10
2026-05-03,13:51,LON,IST,Primera Clase,540,505,G4
2026-04-29,11:08,LON,CAN,Turista,950,362,G7
2026-04-18,01:06,IST,TYO,Primera Clase,1215,816,G6
2026-04-23,00:56,IST,LON,Turista,900,846,G19
2026-04-17,23:23,IST,SAO,Primera Clase,1620,386,G12
2026-05-07,18:38,PEK,DFW,Turista,1150,240,G7
2026-04-29,00:51,SIN,DFW,Primera Clase,1890,558,G20
2026-04-27,16:27,ATL,SIN,Turista,1500,673,G13
2026-04-16,06:10,LON,SAO,Primera Clase,1485,114,G1
2026-04-22,15:57,CAN,TYO,Turista,550,931,G3
2026-04-30,08:32,AMS,SIN,Primera Clase,1283,161,G10
2026-04-23,03:14,SIN,PEK,Turista,600,201,G7
2026-05-12,05:46,LON,SAO,Primera Clase,1485,293,G7
2026-05-02,16:35,IST,SIN,Turista,800,779,G3
2026-05-12,10:13,TYO,PEK,Primera Clase,675,597,G11
2026-04-17,18:45,MAD,PAR,Turista,200,328,G3
2026-05-06,20:08,AMS,DXB,Primera Clase,878,697,G11
2026-04-26,00:25,MAD,DFW,Turista,850,140,G1
2026-05-11,08:00,TYO,DXB,Primera Clase,1013,361,G15
2026-04-28,13:33,LON,CAN,Turista,950,991,G14
2026-04-15,14:28,PEK,AMS,Primera Clase,1215,884,G16
2026-05-09,13:38,TYO,IST,Turista,900,357,G20
2026-04-17,10:57,IST,PEK,Primera Clase,1080,731,G9
2026-05-14,14:05,CAN,TYO,Turista,550,390,G12
2026-04-24,19:40,ATL,DFW,Primera Clase,270,668,G17
2026-05-06,09:22,CAN,SIN,Turista,500,545,G9
2026-04-16,19:17,FRA,PEK,Primera Clase,1148,703,G7
2026-04-17,03:59,CAN,SIN,Turista,500,932,G17
2026-04-24,20:34,MAD,SIN,Primera Clase,1350,365,G13
2026-05-06,19:04,PAR,AMS,Turista,180,208,G18
2026-05-04,04:41,SIN,LON,Primera Clase,1215,250,G5
2026-05-07,08:56,IST,TYO,Turista,900,315,G8
2026-04-30,00:57,DFW,AMS,Primera Clase,1080,125,G14
2026-05-12,20:30,IST,LAX,Turista,2999,401,G5
2026-04-24,17:39,DXB,LAX,Primera Clase,1755,394,G1
2026-04-24,15:59,AMS,IST,Turista,450,585,G12
2026-05-11,10:38,ATL,SIN,Primera Clase,2025,811,G16
2026-04-28,17:36,LAX,DXB,Turista,1300,400,G6
2026-05-03,20:55,TYO,PEK,Primera Clase,675,402,G14
2026-04-28,16:37,LON,MAD,Turista,200,256,G16
2026-05-14,23:07,LON,DXB,Primera Clase,878,162,G1
2026-05-04,13:11,LAX,AMS,Turista,850,284,G13
2026-04-17,11:21,DXB,PAR,Primera Clase,945,834,G1
2026-05-01,12:21,TYO,MAD,Turista,1100,599,G11
2026-04-22,18:55,LAX,DXB,Primera Clase,1755,904,G7
2026-05-03,04:45,AMS,LAX,Turista,850,341,G13
2026-04-21,14:21,PEK,SIN,Primera Clase,810,178,G1
2026-04-27,12:06,FRA,PEK,Turista,850,395,G17
2026-04-25,12:55,AMS,LON,Primera Clase,203,537,G8
2026-04-27,23:39,DXB,LON,Turista,650,971,G4
2026-04-23,09:21,LON,DXB,Primera Clase,878,566,G16
2026-04-30,16:34,PAR,SAO,Turista,1050,416,G12
2026-05-11,18:34,PAR,ATL,Primera Clase,1013,502,G17
2026-05-01,05:13,LAX,PEK,Turista,1100,928,G9
2026-05-08,19:36,CAN,TYO,Primera Clase,743,566,G12
2026-05-12,14:35,SIN,LON,Turista,900,595,G19
2026-04-23,04:50,DXB,LON,Primera Clase,878,579,G19
2026-05-06,12:02,AMS,LAX,Turista,850,589,G4
2026-05-13,22:32,LAX,ATL,Primera Clase,540,807,G6
2026-05-07,18:23,CAN,DXB,Turista,650,732,G2
2026-04-19,20:32,FRA,IST,Primera Clase,473,525,G19
2026-04-16,23:56,DXB,PAR,Turista,700,733,G3
2026-05-14,19:45,SIN,TYO,Primera Clase,945,679,G2
2026-05-11,08:59,LAX,ATL,Turista,400,779,G7
2026-04-16,22:21,CAN,LON,Primera Clase,1283,998,G1
2026-04-25,21:01,MAD,AMS,Turista,200,269,G16
2026-04-19,02:44,PAR,SIN,Primera Clase,1283,882,G2
2026-05-11,09:09,ATL,TYO,Turista,1400,833,G6
2026-05-13,10:42,CAN,LAX,Primera Clase,1553,908,G14
2026-04-28,03:04,CAN,PEK,Turista,200,994,G18
2026-04-17,17:39,ATL,SIN,Primera Clase,2025,695,G1
2026-05-05,15:16,DXB,TYO,Turista,750,998,G15
2026-04-20,10:37,PAR,DXB,Primera Clase,945,814,G15
2026-04-28,17:56,CAN,TYO,Turista,550,742,G11
2026-05-06,05:20,TYO,MAD,Primera Clase,1485,873,G14
2026-05-11,22:06,TYO,LON,Turista,1000,680,G4
2026-04-26,21:50,IST,SAO,Primera Clase,1620,168,G13
2026-05-04,05:02,FRA,IST,Turista,350,908,G9
2026-04-25,22:16,MAD,PAR,Primera Clase,270,998,G4
2026-05-07,22:10,DFW,AMS,Turista,800,464,G13
2026-04-26,05:42,IST,FRA,Primera Clase,473,735,G6
2026-05-09,02:22,LON,DXB,Turista,650,274,G12
2026-04-27,12:10,LON,ATL,Primera Clase,945,977,G1
2026-04-16,20:52,CAN,IST,Turista,800,250,G1
2026-05-11,20:07,CAN,PAR,Primera Clase,1283,760,G15
2026-04-21,02:35,AMS,LAX,Turista,850,998,G4
2026-05-11,16:17,AMS,LAX,Primera Clase,1148,116,G10
2026-05-12,00:33,FRA,LON,Turista,200,701,G20
2026-05-14,10:18,PEK,DFW,Primera Clase,1553,853,G15
2026-04-25,10:40,CAN,AMS,Turista,900,276,G9
2026-04-17,19:30,IST,DXB,Primera Clase,540,411,G18
2026-05-03,17:44,DFW,IST,Turista,1000,282,G16
2026-04-17,12:08,IST,PEK,Primera Clase,1080,948,G7
2026-05-11,02:59,LAX,DFW,Turista,300,609,G17
2026-05-11,06:57,SIN,PEK,Primera Clase,810,720,G2
2026-05-04,14:37,DFW,ATL,Turista,200,290,G13
2026-04-22,06:10,ATL,DFW,Primera Clase,270,103,G18
2026-04-22,23:17,ATL,LAX,Turista,400,732,G11
2026-05-06,00:30,PEK,DXB,Primera Clase,945,307,G10
2026-04-19,00:13,LAX,IST,Turista,1100,277,G17
2026-05-11,10:33,SIN,TYO,Primera Clase,945,743,G11
